"","X","CustID","JoinDate","DOB","Gender","Visits","Paintings","Jewelry","Mosaics","Sculpture","Coupon","Revenue","Joindate_cat","Age","Age_cat","Visits_freq","Visits_freq_cat"
"1",1,86753091,2015-01-28,1993-06-12,"Female",61,550.222364410911,192.045731471949,70.6183075112164,38.3413244516135,"no",851.22772784569,"new",22,"younger",5.43026706231454,"medium"
"2",2,86753092,2015-01-16,1972-04-25,"Female",69,96.1207128673973,210.991971358278,285.121522818438,15.6448938705218,"no",607.879100914635,"new",43,"elder",5.93123209169054,"medium"
"3",3,86753093,2015-03-14,1971-11-15,"Female",84,10.0682782011245,292.032648101466,265.539729053854,23.4522459501718,"no",591.092901306616,"new",44,"elder",8.63013698630137,"high"
"4",4,86753094,2014-08-17,1985-02-27,"Female",32,105.960713010896,344.617144114507,216.071970978369,317.984178808929,"no",984.634006912701,"old",30,"younger",1.91616766467066,"low"
"5",5,86753095,2015-06-09,1981-10-10,"Male",19,38.6053159224789,17.5995931717018,446.317794124231,355.58809397982,"no",858.110797198232,"new",34,"middle-aged",2.78048780487805,"low"
"6",6,86753096,2015-07-17,1980-03-23,"Male",21,11.8885999094621,32.5729034418538,460.309565356395,328.586529339623,"no",833.357598047334,"new",35,"middle-aged",3.77245508982036,"low"
"7",7,86753097,2014-07-06,1982-03-30,"Female",58,193.416040983726,157.519585534613,299.378819078794,210.250831965731,"yes",860.565277562864,"old",33,"middle-aged",3.20441988950276,"low"
"8",8,86753098,2014-12-31,1977-08-08,"Female",73,14.7569506849261,300.926545039557,261.01161615645,4.7191374796525,"no",581.414249360586,"new",38,"middle-aged",6,"medium"
"9",9,86753099,2014-08-19,1983-11-15,"Female",40,218.151157388149,308.786412927325,277.78777533275,176.941031727325,"yes",981.666377375549,"old",32,"middle-aged",2.40480961923848,"low"
"10",10,867530910,2014-07-05,1982-05-27,"Female",29,259.925213050428,279.158023218689,218.614369491193,196.091575298976,"yes",953.789181059286,"old",33,"middle-aged",1.59926470588235,"low"
"11",11,867530911,2015-01-19,1973-07-20,"Female",49,45.3932776425696,262.05112022687,267.25105182614,1.74764961427842,"no",576.443099309858,"new",42,"elder",4.2485549132948,"medium"
"12",12,867530912,2014-12-14,1996-05-01,"Male",60,469.5501234071,268.235610056234,7.90368861382786,9.99842808220586,"no",755.687850159368,"new",19,"younger",4.71204188481675,"medium"
"13",13,867530913,2014-05-30,1993-04-08,"Female",57,447.669686120221,227.940595877424,72.4810241713008,25.7439892389453,"no",773.835295407891,"old",22,"younger",2.94827586206897,"low"
"14",14,867530914,2014-09-11,1987-03-27,"Male",65,259.564352905568,226.097496991924,373.598388935767,145.647795835274,"no",1004.90803466853,"old",28,"younger",4.09663865546218,"medium"
"15",15,867530915,2015-02-05,1978-06-15,"Male",88,35.6279583606243,250.961037775896,288.890263479011,51.6018218877919,"no",627.081081503323,"new",37,"middle-aged",8.02431610942249,"high"
"16",16,867530916,2015-03-09,1977-08-01,"Female",78,0.315021535662254,334.844817464826,226.958104753328,1.08784879916903,"no",563.205792552985,"new",38,"middle-aged",7.87878787878788,"medium"
"17",17,867530917,2014-12-24,1976-05-04,"Female",66,15.7534841158602,210.03907517345,402.287544304283,16.6171847086769,"no",644.69728830227,"new",39,"middle-aged",5.32258064516129,"medium"
"18",18,867530918,2015-03-20,1974-04-23,"Female",67,18.0775706645053,320.37450084759,258.388543324627,10.0927905545268,"no",606.933405391249,"new",41,"elder",7.02797202797203,"medium"
"19",19,867530919,2014-11-08,1988-10-20,"Female",61,524.693885731429,286.30492784748,26.6214185323293,7.92991969112241,"no",845.550151802361,"old",27,"younger",4.37799043062201,"medium"
"20",20,867530920,2014-09-14,1987-07-09,"Male",57,459.511275325785,191.34784707359,263.198172215746,118.44179597174,"no",1032.49909058686,"old",28,"younger",3.61522198731501,"low"
